dataset_name,idx,lambda,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,0,-1.4758780002593994,0.08070395886898041,-35.245140075683594,-15.787221908569336,-20.599834442138672,-4.908370018005371,-35.24538040161133,-15.785514831542969,-1.5406913757324219,0.1455175206065178,-35.41007721424103,-15.823920782655478,-20.90414869785309,-5.047118842601776,-35.41027069091797,-15.822266582399607
ESC50,1309,0,-0.3016846179962158,-0.5128226280212402,-48.3011474609375,-43.375179290771484,-17.557945251464844,-10.612466812133789,-48.327301025390625,-43.37322998046875,-0.759879857301712,-0.054627448320388794,-48.7563796043396,-42.91372397542,-18.05275198817253,-10.198361665010452,-48.7825308740139,-42.91174069046974
VGGSound,142,0,-4.207630634307861,-0.3325817584991455,-33.14138412475586,-36.4831428527832,-18.21281623840332,-22.593542098999023,-33.141693115234375,-36.48265838623047,4.829371929168701,-9.369584321975708,-24.10430335998535,-45.52013874053955,-9.311014175415039,-31.64473056793213,-24.1046199798584,-45.51965141296387
