dataset_name,idx,lambda,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,8,-2.2218620777130127,-1.4629393815994263,-43.30118179321289,-33.77345275878906,-17.642995834350586,-9.635649681091309,-43.29032516479492,-33.77312469482422,-2.680057317018509,-1.0047442018985748,-43.75641393661499,-33.311997443437576,-18.137802571058273,-9.221544533967972,-43.7455550134182,-33.31163540482521
VGGSound,142,8,-1.798279047012329,-14.367836952209473,-28.652481079101562,-33.9813232421875,-10.587814331054688,-26.438438415527344,-28.652894973754883,-33.98228073120117,7.238723516464233,-23.404839515686035,-19.615400314331055,-43.01831912994385,-1.6860122680664062,-35.48962688446045,-19.615821838378906,-43.01927375793457
Audioset,5238,9,-0.13942252099514008,-13.410274505615234,-45.61846160888672,-31.87340545654297,-17.341764450073242,-14.73305606842041,-45.61849594116211,-31.876205444335938,-0.20423589646816254,-13.345460943877697,-45.78339874744415,-31.91010433062911,-17.64607870578766,-14.871804893016815,-45.78338623046875,-31.912957195192575
ESC50,1309,9,-1.581721544265747,-1.936456322669983,-33.31101989746094,-39.08422088623047,-16.764019012451172,-9.423129081726074,-33.31184005737305,-39.083518981933594,-2.0399167835712433,-1.4782611429691315,-33.76625204086304,-38.62276557087898,-17.25882574915886,-9.009023934602737,-33.76706990599632,-38.622029691934586
VGGSound,142,9,-1.6724934577941895,-11.234607696533203,-31.844818115234375,-45.73516082763672,-12.032827377319336,-20.43906593322754,-31.845415115356445,-45.7347412109375,7.364509105682373,-20.271610260009766,-22.807737350463867,-54.772156715393066,-3.1310253143310547,-29.490254402160645,-22.80834197998047,-54.7717342376709
Audioset,5238,10,-1.4474056959152222,-2.7032289505004883,-39.16143035888672,-32.07196807861328,-19.930187225341797,-9.23483657836914,-39.16167068481445,-32.066959381103516,-1.5122190713882446,-2.638415388762951,-39.32636749744415,-32.10866695269942,-20.234501481056213,-9.373585402965546,-39.326560974121094,-32.103711131960154
ESC50,1309,10,-1.2945411205291748,-2.3873960971832275,-27.92706298828125,-43.99408721923828,-16.24939727783203,-9.792481422424316,-27.926380157470703,-43.99512481689453,-1.752736359834671,-1.929200917482376,-28.38229513168335,-43.532631903886795,-16.74420401453972,-9.37837627530098,-28.38161000609398,-43.53363552689552
VGGSound,142,10,-4.0492634773254395,-6.804957389831543,-44.91580581665039,-45.7845458984375,-14.147220611572266,-21.177154541015625,-44.91261291503906,-45.7791748046875,4.987739086151123,-15.841959953308105,-35.87872505187988,-54.82154178619385,-5.245418548583984,-30.22834300994873,-35.875539779663086,-54.8161678314209
Audioset,5238,11,-0.12229270488023758,-0.23342573642730713,-31.565763473510742,-52.525115966796875,-16.6168212890625,-17.47074317932129,-31.565771102905273,-52.55500030517578,-0.18710608035326004,-0.16861217468976974,-31.730700612068176,-52.56181484088302,-16.921135544776917,-17.609492003917694,-31.730661392211914,-52.59175205603242
ESC50,1309,11,-2.284219980239868,-1.3897396326065063,-41.997535705566406,-49.66272735595703,-19.621538162231445,-10.55718994140625,-42.00651168823242,-49.658905029296875,-2.7424152195453644,-0.9315444529056549,-42.452767848968506,-49.201272040605545,-20.116344898939133,-10.143084794282913,-42.4617415368557,-49.19741573929787
VGGSound,142,11,-3.537648916244507,-6.628921031951904,-64.61844635009766,-55.660457611083984,-24.515527725219727,-20.41931915283203,-64.6092758178711,-55.65365219116211,5.499353647232056,-15.665923595428467,-55.58136558532715,-64.69745349884033,-15.613725662231445,-29.470507621765137,-55.57220268249512,-64.69064521789551
Audioset,5238,12,-0.2828616797924042,-13.992717742919922,-31.457117080688477,-35.239070892333984,-18.014842987060547,-19.461824417114258,-31.457107543945312,-35.23392105102539,-0.34767505526542664,-13.927904181182384,-31.62205421924591,-35.275769766420126,-18.319157242774963,-19.600573241710663,-31.621997833251953,-35.27067280188203
ESC50,1309,12,-1.0650396347045898,-1.7235122919082642,-35.207855224609375,-40.70344924926758,-14.880165100097656,-10.124496459960938,-35.21073913574219,-40.703956604003906,-1.523234874010086,-1.2653171122074127,-35.663087368011475,-40.24199393391609,-15.374971836805344,-9.7103913128376,-35.66596898436546,-40.2424673140049
VGGSound,142,12,-4.729377746582031,-7.7659502029418945,-32.35797119140625,-42.64418029785156,-12.048306465148926,-20.796497344970703,-32.35831832885742,-42.6422119140625,4.307624816894531,-16.802952766418457,-23.320890426635742,-51.68117618560791,-3.1465044021606445,-29.84768581390381,-23.321245193481445,-51.6792049407959
Audioset,5238,13,-2.096649646759033,-0.005284469109028578,-31.615013122558594,-42.8679084777832,-22.979785919189453,-19.06279754638672,-31.615140914916992,-42.87971878051758,-2.1614630222320557,0.059529092628508806,-31.779950261116028,-42.904607351869345,-23.28410017490387,-19.201546370983124,-31.780031204223633,-42.916470531374216
ESC50,1309,13,-0.7277511358261108,-1.8732171058654785,-37.697147369384766,-35.30397033691406,-13.86109733581543,-9.165360450744629,-37.691837310791016,-35.30350112915039,-1.185946375131607,-1.415021926164627,-38.152379512786865,-34.842515021562576,-14.355904072523117,-8.751255303621292,-38.14706715941429,-34.84201183915138
